CANNOT chose from супоръ	 to 	супои, сугръ	 distance == 2
CANNOT chose from тимонъ	 to 	лимонъ, симонъ	 distance == 1
CANNOT chose from зелва	 to 	молва, зола	 distance == 2
CANNOT chose from пелынь	 to 	плѣнь, волынь	 distance == 2
CANNOT chose from мусский	 to 	мужский, русский	 distance == 1
CANNOT chose from слѣсти	 to 	смѣсти, сѣсти, снѣсти, слѣзти, ссѣсти, срѣсти	 distance == 1
CANNOT chose from посупляти	 to 	погубляти, пособляти, похуляти	 distance == 2
CANNOT chose from испродати	 to 	продати, испросити, упродати	 distance == 2
CANNOT chose from замышление	 to 	размышление, помышление	 distance == 2
CANNOT chose from рядца	 to 	руда, рудица, редка, рядъ, грядка	 distance == 2
CANNOT chose from отплатити	 to 	поплатити, платити, сплатити	 distance == 2
CANNOT chose from оцѣпнути	 to 	оцѣпѣти, оцѣпляти	 distance == 2
CANNOT chose from дивъ	 to 	диръ, фивъ	 distance == 1
CANNOT chose from потрети	 to 	отрѣти, почрѣти, пожрѣти, позрѣти, помрѣти	 distance == 1
CANNOT chose from припущати	 to 	приобщати, попущати, причащати, прикупати, припадати, приписати	 distance == 2
CANNOT chose from зарачение	 to 	брачение, заточение, омрачение	 distance == 2
CANNOT chose from пердика	 to 	персида, перина	 distance == 2
CANNOT chose from вишта	 to 	вина, вышата, висла, свита, башта, вишня, кишка, врата, вира	 distance == 2
CANNOT chose from пострищи	 to 	пострѣщи, острищи, постричи	 distance == 1
CANNOT chose from кормный	 to 	скоромный, хоромный, корчемный, чермный	 distance == 2
CANNOT chose from рости	 to 	росути, расти	 distance == 1
CANNOT chose from иолѣи	 to 	иереи, поле	 distance == 2
CANNOT chose from модана	 to 	подача, година, морава, родона	 distance == 2
CANNOT chose from обияздити	 to 	обрядити, обиходити, обездити	 distance == 2
CANNOT chose from взбити	 to 	выбити, вабити, взлити, избити, взити	 distance == 1
CANNOT chose from уркания	 to 	урѣкание, аркадия	 distance == 2
CANNOT chose from полошити	 to 	полонити, поломити, положити	 distance == 1
CANNOT chose from пелы	 to 	поле, полъ	 distance == 2
CANNOT chose from безгодие	 to 	бездждие, безлобие	 distance == 2
CANNOT chose from прити	 to 	проити, преити	 distance == 1
CANNOT chose from скрань	 to 	страна, стражь, брань	 distance == 2
CANNOT chose from смедлити	 to 	смѣрити, смѣсити, смыслити, смѣтити	 distance == 2
CANNOT chose from пела	 to 	пѣна, бѣла	 distance == 1
CANNOT chose from обручити	 to 	дручити, поручити	 distance == 2
CANNOT chose from подобити	 to 	подобати, уподобити	 distance == 1
CANNOT chose from непочивание	 to 	почивание, опочивание	 distance == 2
CANNOT chose from анания	 to 	аравия, панония, анний	 distance == 2
CANNOT chose from надхнути	 to 	издхнути, дхнути, затхнути, пахнути, накинути, насунути	 distance == 2
CANNOT chose from козий	 to 	болий, борзий, скотий, горий, божий, робий	 distance == 2
CANNOT chose from хортица	 to 	горница, горлица, хоривица	 distance == 2
CANNOT chose from осмужити	 to 	служити, смутити, стужити	 distance == 2
CANNOT chose from стбло	 to 	столъ, стулъ	 distance == 2
CANNOT chose from памфилъ	 to 	самуилъ, памфилия, панфиръ	 distance == 2
CANNOT chose from арсѣний	 to 	армения, иргений	 distance == 2
CANNOT chose from отшити	 to 	отити, отбити	 distance == 1
CANNOT chose from нуждение	 to 	рождение, неядение	 distance == 2
CANNOT chose from кель	 to 	зель, рель, щель	 distance == 1
CANNOT chose from престаяти	 to 	прѣстояти, прѣстати	 distance == 1
CANNOT chose from успѣние	 to 	утаение, пѣние, спание, усние, отпѣние, учение, убиение	 distance == 2
CANNOT chose from лучница	 to 	блудница, ключница	 distance == 2
CANNOT chose from ласкание	 to 	плакание, алкание, плескание	 distance == 2
CANNOT chose from ерихо	 to 	брюхо, мѣрило, крило	 distance == 2
CANNOT chose from роговъ	 to 	рогъ, ровъ	 distance == 2
CANNOT chose from лакиня	 to 	латина, латини, ликия, аксиня, асиня	 distance == 2
CANNOT chose from ошити	 to 	опити, сшити, отити, ожити, обити	 distance == 1
CANNOT chose from онболъ	 to 	обозъ, онбаръ	 distance == 2
CANNOT chose from порочникъ	 to 	воротникъ, полонникъ, покоиникъ, городникъ, помощникъ, повозникъ	 distance == 2
CANNOT chose from тукота	 to 	субота, тягота, сухота	 distance == 2
CANNOT chose from лупити	 to 	упити, купити, лучити	 distance == 1
CANNOT chose from ерихъ	 to 	орѣхъ, шихъ, римъ	 distance == 2
CANNOT chose from стубла	 to 	стугна, стрѣла, сула, стулъ	 distance == 2
CANNOT chose from обязание	 to 	обядение, обрѣзание, обѣщание, обѣдание	 distance == 2
CANNOT chose from аравь	 to 	нравъ, аранъ, жеравь	 distance == 2
CANNOT chose from исхитрити	 to 	всхитити, испстрити	 distance == 2
CANNOT chose from пламень	 to 	платежь, плѣнь	 distance == 2
CANNOT chose from укупити	 to 	купити, окупити	 distance == 1
CANNOT chose from власий	 to 	флавий, власъ, власть	 distance == 2
CANNOT chose from пожизати	 to 	пожинати, пожигати	 distance == 1
CANNOT chose from лукий	 to 	иулий, гурий, луеи, ликия, лукно, туки, кий, лука, лукъ, лубие, буки, мокий, никий, лукиний	 distance == 2
CANNOT chose from улѣсти	 to 	увести, плести	 distance == 1
CANNOT chose from взбранивати	 to 	взбранити, бранивати	 distance == 2
CANNOT chose from пытание	 to 	писание, метание, шатание, встание, дышание, рыдание, дыхание, потщание	 distance == 2
CANNOT chose from врачба	 to 	раба, вражда, врачь, врата	 distance == 2
CANNOT chose from махати	 to 	мазати, пахати	 distance == 1
CANNOT chose from порунский	 to 	поганский, корсунский	 distance == 2
CANNOT chose from роздумати	 to 	подумати, раздувати, розломати	 distance == 2
CANNOT chose from корѣли	 to 	корець, козелъ, корень, кортель, корение, котелъ, кормля, корета, король, коцелъ, орелъ	 distance == 2
CANNOT chose from жирява	 to 	жидята, жертва	 distance == 2
CANNOT chose from вразумѣти	 to 	разумѣти, уразумѣти	 distance == 1
CANNOT chose from орѣховый	 to 	гороховый, греховный	 distance == 2
CANNOT chose from вожение	 to 	хожение, рожение	 distance == 1
CANNOT chose from мутный	 to 	мчетный, суетный	 distance == 2
CANNOT chose from потребие	 to 	потчение, потрѣба	 distance == 2
CANNOT chose from прикрыти	 to 	перекрыти, прикроити	 distance == 2
CANNOT chose from всѣдати	 to 	ссѣдати, вѣдати	 distance == 1
CANNOT chose from вынити	 to 	выняти, винити	 distance == 1
CANNOT chose from налючь	 to 	ключь, алочь, палачь	 distance == 2
CANNOT chose from елтукъ	 to 	стукъ, лукъ	 distance == 2
CANNOT chose from делфа	 to 	дѣва, дѣвка, дѣло, сдѣлка, денга, бѣлка, бѣла, десна, цѣлба, щелка	 distance == 2
CANNOT chose from суморокъ	 to 	спорокъ, уборокъ	 distance == 2
CANNOT chose from дубнець	 to 	унець, кузнець, рубець	 distance == 2
CANNOT chose from ряжение	 to 	рожение, уряжение	 distance == 1
CANNOT chose from тапатъ	 to 	харатъ, запасъ, асатъ, табакъ, талантъ, западъ, таганъ	 distance == 2
CANNOT chose from портокъ	 to 	потокъ, порокъ	 distance == 1
CANNOT chose from сочити	 to 	точити, почити, солити, скочити	 distance == 1
CANNOT chose from дорогъ	 to 	дорогий, дировъ	 distance == 2
CANNOT chose from примѣшение	 to 	премѣнение, принесение, приведение, примирение, приношение	 distance == 2
CANNOT chose from жжерский	 to 	женский, тверский	 distance == 2
CANNOT chose from росмотрѣти	 to 	посмотрѣти, досмотрѣти, сосмотрѣти, осмотрѣти	 distance == 1
CANNOT chose from крити	 to 	корити, кроити	 distance == 1
CANNOT chose from авиронъ	 to 	воронъ, вавилонъ, аронъ	 distance == 2
CANNOT chose from нафанъ	 to 	казанъ, саванъ, навинъ, кафтанъ, асанъ, началъ, каганъ, кафаръ, насадъ, кабанъ, аранъ, баранъ, наказъ, заганъ, лаванъ, ладанъ, наинъ, таганъ	 distance == 2
CANNOT chose from вѣдание	 to 	сѣдание, вздание	 distance == 1
CANNOT chose from матѣевъ	 to 	вакѣевъ, алеевъ	 distance == 2
CANNOT chose from вмѣшати	 to 	мѣшати, вмѣщати, вѣшати, смѣшати	 distance == 1
CANNOT chose from руса	 to 	русь, роса	 distance == 1
CANNOT chose from сѣдати	 to 	снѣдати, сѣждати, сѣдѣти, свѣдати, ссѣдати, вѣдати	 distance == 1
CANNOT chose from приводъ	 to 	приходъ, привозъ	 distance == 1
CANNOT chose from сластный	 to 	власяный, страстный, лестный, сястный, славный	 distance == 2
CANNOT chose from розимати	 to 	изимати, взимати, розломати	 distance == 2
CANNOT chose from опѣшати	 to 	помѣшати, мѣшати, вѣшати	 distance == 2
CANNOT chose from взлѣтѣти	 to 	низлетѣти, летѣти, взлѣзти, полетѣти, взлежати, взревѣти	 distance == 2
CANNOT chose from сгрѣтися	 to 	сгрѣти, скрытися	 distance == 2
CANNOT chose from свузъ	 to 	ссудъ, судъ, студъ, спудъ, скуфъ, скутъ, стукъ, увозъ, возъ, наузъ, саулъ, звукъ, сваръ, слухъ, стулъ, сводъ, саукъ, свѣтъ	 distance == 2
CANNOT chose from аспида	 to 	спица, спина, заспица	 distance == 2
CANNOT chose from зажитие	 to 	забытие, житие, наитие	 distance == 2
CANNOT chose from расмотрѣти	 to 	расмотрити, расмотряти	 distance == 1
CANNOT chose from взболѣти	 to 	болѣти, поболѣти, взгорѣти, разболѣти, заболѣти	 distance == 2
CANNOT chose from мнимый	 to 	мний, нѣмый, милый, гнилый	 distance == 2
CANNOT chose from смѣжити	 to 	смѣрити, смѣсити, смѣтити	 distance == 1
CANNOT chose from вядна	 to 	вина, весна, волна, дна, воина, вода	 distance == 2
CANNOT chose from искривити	 to 	искивати, исправити	 distance == 2
CANNOT chose from премѣнятися	 to 	премѣняти, прѣмѣняти	 distance == 2
CANNOT chose from свуза	 to 	уза, ссуда, свѣча, суша, сума, слуга, свада, свита, свѣща, сула, слеза	 distance == 2
CANNOT chose from куровъ	 to 	турдовъ, гудовъ, дировъ, чудовъ, бутовъ	 distance == 2
CANNOT chose from нилосъ	 to 	носъ, хилокъ, волосъ, никонъ, крилосъ	 distance == 2
CANNOT chose from тесовъ	 to 	туровъ, пѣсокъ	 distance == 2
CANNOT chose from ось	 to 	лось, рось	 distance == 1
CANNOT chose from обиймати	 to 	обирати, отимати, приймати, обитати	 distance == 2
CANNOT chose from жалъ	 to 	жаль, жало	 distance == 1
CANNOT chose from свѣи	 to 	свои, швѣи	 distance == 1
CANNOT chose from облѣщи	 to 	брѣщи, влѣщи	 distance == 2
CANNOT chose from позадѣяти	 to 	порадѣти, подѣяти, пощадѣти, позавести	 distance == 2
CANNOT chose from безбѣдный	 to 	безгодный, безбожный, безмездный, безмѣрный, безвѣрный, безводный	 distance == 2
CANNOT chose from вковати	 to 	оковати, сковати, ковати	 distance == 1
CANNOT chose from благопищие	 to 	благожитие, благочиние	 distance == 2
CANNOT chose from гать	 to 	тать, рать	 distance == 1
CANNOT chose from бритва	 to 	притча, литва	 distance == 2
CANNOT chose from исидъ	 to 	иосифъ, исходъ	 distance == 2
CANNOT chose from амбонъ	 to 	бубонъ, антонъ, аронъ, амосъ, амбаръ	 distance == 2
CANNOT chose from пакостный	 to 	постный, жалостный, радостный	 distance == 2
CANNOT chose from фаватъ	 to 	харатъ, навѣтъ, саванъ, асатъ, завѣтъ, лаванъ	 distance == 2
CANNOT chose from еладий	 to 	флавий, генадий	 distance == 2
CANNOT chose from селукъ	 to 	стукъ, лукъ, слухъ, селунь, саукъ	 distance == 2
CANNOT chose from бѣлескъ	 to 	бужескъ, мѣнескъ	 distance == 2
CANNOT chose from онъ	 to 	гонъ, сонъ, донъ	 distance == 1
CANNOT chose from книжка	 to 	ножка, книга, кишка, нитка	 distance == 2
CANNOT chose from чюдь	 to 	чудь, чадь	 distance == 1
CANNOT chose from словный	 to 	сливный, славный	 distance == 1
CANNOT chose from чюдо	 to 	чудо, чадо	 distance == 1
CANNOT chose from поврести	 to 	погрести, повѣсти, повести, побрести	 distance == 1
CANNOT chose from измазати	 to 	помазати, изрѣзати, изметати, мазати, излазити, изгарати, исчазати	 distance == 2
CANNOT chose from климовъ	 to 	симовъ, каиновъ, клековъ	 distance == 2
CANNOT chose from усилие	 to 	усние, обилие, устие, насилие, удолие	 distance == 2
CANNOT chose from лювий	 to 	флавий, ливия, юрий, людие	 distance == 2
CANNOT chose from подсѣдати	 to 	поддати, подѣлати, подсыпати, посѣкати, подтекати, посѣщати, посѣдѣти, повѣдати	 distance == 2
CANNOT chose from тростный	 to 	крестный, хрестный	 distance == 2
CANNOT chose from вѣяти	 to 	дѣяти, взяти, вняти, сѣяти	 distance == 1
CANNOT chose from ушескъ	 to 	курескъ, сутѣскъ, утесъ, шестъ, луческъ, шелкъ, бужескъ	 distance == 2
CANNOT chose from вздринути	 to 	вринути, изринути, вздвигнути	 distance == 2
CANNOT chose from касози	 to 	касогъ, кози	 distance == 2
CANNOT chose from дрютский	 to 	братский, критский, дѣтский	 distance == 2
CANNOT chose from шумескъ	 to 	курескъ, сутѣскъ, луческъ, бужескъ	 distance == 2
CANNOT chose from искупъ	 to 	пискупъ, искусъ	 distance == 1
CANNOT chose from премедлити	 to 	прѣселити, прѣмѣнити	 distance == 2
CANNOT chose from ужникъ	 to 	ружникъ, нужникъ, узникъ	 distance == 1
CANNOT chose from сѣчение	 to 	течение, речение, печение, сѣдѣние	 distance == 1
CANNOT chose from верники	 to 	вирникъ, мѣрникъ	 distance == 2
CANNOT chose from верника	 to 	черница, вирникъ, мѣрникъ, веревка, варница	 distance == 2
CANNOT chose from ижера	 to 	игра, икра	 distance == 2
CANNOT chose from обѣхати	 to 	обѣдати, отѣхати, обѣщати	 distance == 1
CANNOT chose from мученный	 to 	мчетный, ученый	 distance == 2
CANNOT chose from илъ	 to 	иевъ, било, идолъ, волъ, зло, солъ, колъ, полъ	 distance == 2
CANNOT chose from оттещи	 to 	отрещи, оттечи	 distance == 1
CANNOT chose from ушь	 to 	усъ, кошь, ухо, умъ, вошь, уи, удъ, угъ	 distance == 2
CANNOT chose from мануилъ	 to 	самуилъ, рагуилъ, данилъ, иммануилъ	 distance == 2
CANNOT chose from титъ	 to 	китъ, щитъ	 distance == 1
CANNOT chose from ира	 to 	игра, икра, вира	 distance == 1
CANNOT chose from кочетъ	 to 	кочене, кметъ, отчетъ, счетъ	 distance == 2
CANNOT chose from комовъ	 to 	ковъ, оковъ, комонь, кловъ	 distance == 2
CANNOT chose from ключный	 to 	лычный, клѣтный, людный	 distance == 2
CANNOT chose from путный	 to 	плотный, портный, постный, суетный	 distance == 2
CANNOT chose from заячный	 to 	ячный, заемный, зарный	 distance == 2
CANNOT chose from ермовъ	 to 	симовъ, хамовъ, берновъ	 distance == 2
CANNOT chose from селище	 to 	селце, зелие, дѣтище, судище, стрѣлище, жилище	 distance == 2
CANNOT chose from касий	 to 	асия, кий, арий, масия, паисий, кария, кчий, осий	 distance == 2
CANNOT chose from отряживати	 to 	наряживати, отрясывати	 distance == 2
CANNOT chose from помѣнение	 to 	плѣнение, премѣнение	 distance == 2
CANNOT chose from сиси	 to 	сѣни, сила, миди, сирий, сирия, сани, сифъ, сито, лисъ, свои, симъ, свеи, сигъ	 distance == 2
CANNOT chose from истба	 to 	истобка, гостба	 distance == 2
CANNOT chose from ждана	 to 	рана, дань, данъ, дна, дача, жаба, жена, жажа	 distance == 2
CANNOT chose from скуплевати	 to 	купливати, склевати	 distance == 2
CANNOT chose from проганяти	 to 	продаяти, поганити, прогнати, прогонити, промѣняти	 distance == 2
CANNOT chose from господний	 to 	господский, господиный	 distance == 2
CANNOT chose from серпъ	 to 	стропъ, скопъ, сербь, снопъ	 distance == 2
CANNOT chose from седекия	 to 	езекия, сѣдѣние	 distance == 2
CANNOT chose from касия	 to 	асия, масия, кария	 distance == 1
CANNOT chose from скѣпание	 to 	скокание, свѣщание, спание, сѣдание, сказание, копание, стенание	 distance == 2
CANNOT chose from утянути	 to 	утнути, утонути, тянути	 distance == 1
CANNOT chose from искипати	 to 	искупати, ископати	 distance == 1
CANNOT chose from брынъ	 to 	обринъ, боранъ, брань	 distance == 2
CANNOT chose from вымыкати	 to 	вымыти, вызывати, выметати, высылати, умыкати, вымчати, высѣкати	 distance == 2
CANNOT chose from таранъ	 to 	аранъ, баранъ, таганъ	 distance == 1
CANNOT chose from парфский	 to 	пермский, персский	 distance == 2
CANNOT chose from шгла	 to 	сила, жила, шуба, зола, хула, игра, яглъ, сула, бѣла, югра, угра	 distance == 2
CANNOT chose from ерихонъ	 to 	приходъ, припонъ	 distance == 2
CANNOT chose from равнати	 to 	давати, рвати, разгнати, чавкати, ражати	 distance == 2
CANNOT chose from испечи	 to 	исѣчи, испещи	 distance == 1
CANNOT chose from припрѣтити	 to 	припрятати, припустити, присѣтити	 distance == 2
CANNOT chose from калешь	 to 	палець, кашель, кашень, клѣть, талець	 distance == 2
CANNOT chose from яригъ	 to 	емигъ, ясинъ, рогъ, крикъ, гримъ, яремъ, другъ, фрягъ, кругъ, критъ, врагъ, ятинъ, брѣгъ, рига, римъ, сигъ, пругъ	 distance == 2
CANNOT chose from обѣшати	 to 	обѣдати, обѣщати	 distance == 1
CANNOT chose from подний	 to 	поздный, родный, прочний, полный, водный, годный, прѣдний	 distance == 2
CANNOT chose from вгонити	 to 	сгонити, гонити, угонити	 distance == 1
CANNOT chose from проломити	 to 	прѣломити, поломити	 distance == 1
CANNOT chose from гаи	 to 	раи, маи	 distance == 1
CANNOT chose from сватъ	 to 	сваръ, свѣтъ	 distance == 1
CANNOT chose from потортати	 to 	поторгати, потоптати	 distance == 1
CANNOT chose from закрытися	 to 	скрытися, закрыти	 distance == 2
CANNOT chose from стрепетати	 to 	встрепетати, трепетати	 distance == 1
CANNOT chose from обѣздити	 to 	бѣдити, поѣздити, ѣздити	 distance == 2
CANNOT chose from затворение	 to 	створение, заточение, растворение, творение	 distance == 2
CANNOT chose from володша	 to 	вологда, колода, волога	 distance == 2
CANNOT chose from сткляный	 to 	сукняный, стольный	 distance == 2
CANNOT chose from вжделати	 to 	подѣлати, надѣлати, сдѣлати, вжелѣти, задѣлати, дѣлати, отдѣлати, желати	 distance == 2
CANNOT chose from кармилъ	 to 	кирилъ, караулъ, курилъ	 distance == 2
CANNOT chose from заткнути	 to 	затхнути, замкнути	 distance == 1
CANNOT chose from изламляти	 to 	избавляти, излаяти, изваляти	 distance == 2
CANNOT chose from загражение	 to 	сгражение, взгражение	 distance == 2
CANNOT chose from выбирати	 to 	выбивати, вытирати	 distance == 1
CANNOT chose from прочный	 to 	прочний, причный	 distance == 1
CANNOT chose from корнилъ	 to 	конникъ, кирилъ, корнилий, курилъ	 distance == 2
CANNOT chose from лишеница	 to 	лишение, пшеница	 distance == 2
CANNOT chose from брачинъ	 to 	братина, брячина, гречинъ	 distance == 2
CANNOT chose from розирати	 to 	прозирати, розбрати, дозирати	 distance == 1
CANNOT chose from пуминъ	 to 	пучина, пудикъ, куманъ, шуринъ, кумиръ, чудинъ, попинъ, русинъ	 distance == 2
CANNOT chose from скупати	 to 	искупати, скупити	 distance == 1
CANNOT chose from каиданъ	 to 	казанъ, каитакъ, кафтанъ, каганъ, каинъ, кабанъ, ладанъ, китанъ	 distance == 2
CANNOT chose from поминути	 to 	поминати, помянути	 distance == 1
CANNOT chose from яртакъ	 to 	фракъ, зракъ, бракъ	 distance == 2
CANNOT chose from полонина	 to 	половина, солонина	 distance == 1
CANNOT chose from влена	 to 	олена, елена	 distance == 1
CANNOT chose from обещствовати	 to 	оземствовати, бѣдствовати	 distance == 2
CANNOT chose from откладати	 to 	покладати, вкладати, складати, укладати	 distance == 2
CANNOT chose from стгно	 to 	стѣнъ, станъ	 distance == 2
CANNOT chose from измостити	 to 	помостити, мостити, извѣстити, измочити, износити, изоостати	 distance == 2
CANNOT chose from рода	 to 	руда, родъ	 distance == 1
CANNOT chose from мирникъ	 to 	вирникъ, мѣрникъ	 distance == 1
CANNOT chose from щитный	 to 	житный, ситный	 distance == 1
CANNOT chose from анбалъ	 to 	амбаръ, канбатъ, онбаръ, ангелъ	 distance == 2
CANNOT chose from издушити	 to 	исушити, издоити, изучити, задушити, изгубити	 distance == 2
CANNOT chose from рахъ	 to 	рабъ, прахъ	 distance == 1
CANNOT chose from ливаний	 to 	сливание, ливанъ	 distance == 2
CANNOT chose from преводъ	 to 	перевозъ, проходъ	 distance == 2
CANNOT chose from полости	 to 	полоти, порости	 distance == 1
CANNOT chose from десятникъ	 to 	вѣстникъ, десятокъ, местникъ	 distance == 2
CANNOT chose from полещи	 to 	пожещи, потещи	 distance == 1
CANNOT chose from селение	 to 	велѣние, сѣдѣние	 distance == 1
CANNOT chose from алудия	 to 	олядия, лидия, судия, асурия, блудня	 distance == 2
CANNOT chose from мѣдница	 to 	черница, задница, десница, седмица, пещница, мовница, зѣница, темница, мельница, сѣнница, денница	 distance == 2
CANNOT chose from позвание	 to 	созвание, познание	 distance == 1
CANNOT chose from замышляти	 to 	размышляти, смышляти, помышляти, умышляти, замыслити	 distance == 2
CANNOT chose from лукины	 to 	лукно, лукянъ, лукиний	 distance == 2
CANNOT chose from поклоняние	 to 	поклонение, покланяние	 distance == 1
CANNOT chose from тепра	 to 	аепа, сѣра, тигра, вепрь, тепло, рѣпа, мѣра, вѣра	 distance == 2
CANNOT chose from обхаждати	 to 	обнажати, обѣзждати, обладати	 distance == 2
CANNOT chose from запрашати	 to 	запасати, впрашати, прашати, заплакати, запрѣщати	 distance == 2
CANNOT chose from шептати	 to 	шатати, топтати, роптати	 distance == 2
CANNOT chose from фокионъ	 to 	поконъ, поклонъ, родионъ, окианъ	 distance == 2
CANNOT chose from милескъ	 to 	пинескъ, мѣнескъ	 distance == 2
CANNOT chose from вздичати	 to 	взирати, взжигати, вздати, вздвизати, взливати, величати, взимати, вздыхати	 distance == 2
CANNOT chose from истба	 to 	истобка, гостба	 distance == 2
CANNOT chose from осочити	 to 	омочити, отсочити, осолити, опочити, досочити	 distance == 1
CANNOT chose from обнавляти	 to 	оправляти, оставляти	 distance == 2
CANNOT chose from ермилъ	 to 	емигъ, ермола	 distance == 2
CANNOT chose from ташь	 to 	тать, таль	 distance == 1
CANNOT chose from белзский	 to 	селский, бѣленкий	 distance == 2
CANNOT chose from обуимати	 to 	обирати, обнищати, обливати, обзирати, отимати, облизати, отнимати, обличати, обитати	 distance == 2
CANNOT chose from воиный	 to 	доиный, водный	 distance == 1
CANNOT chose from порожний	 to 	прочний, прѣжний	 distance == 2
CANNOT chose from ляница	 to 	лжица, ланита, пятница, пияница, зѣница, лисица	 distance == 2
CANNOT chose from мури	 to 	муха, фудри, миди, гурий, мужь, луеи, миръ, туки, умри, егри, нура, мати, меря, туры, туръ, мария, мука, море, моръ, уи, куци, сурия, буря, куръ, маи, буки, фуръ, куря, мѣра	 distance == 2
CANNOT chose from подруме	 to 	подружие, подруга	 distance == 2
CANNOT chose from вѣтрило	 to 	свѣтило, мѣрило	 distance == 2
CANNOT chose from болгаринъ	 to 	болгарыни, боляринъ	 distance == 2
CANNOT chose from удаление	 to 	удавление, ударение	 distance == 1
CANNOT chose from уродивъ	 to 	иродовъ, уродивый	 distance == 2
CANNOT chose from туска	 to 	сутка, рука, трѣска, туки, туркъ, мска, мука, соска, лука, дска, утка, щука, сумка, мучка, ласка, туга, уста, пушка	 distance == 2
CANNOT chose from грамотикъ	 to 	грамотица, грамотка	 distance == 2
CANNOT chose from молоти	 to 	молыти, молити	 distance == 1
CANNOT chose from пасати	 to 	пасти, писати	 distance == 1
CANNOT chose from угожение	 to 	хожение, сложение, рожение, умножение, гонение, уряжение	 distance == 2
CANNOT chose from уразъ	 to 	указъ, мразъ	 distance == 1
CANNOT chose from препирати	 to 	прѣзирати, прѣпитати, прѣтирати	 distance == 1
CANNOT chose from дубовъ	 to 	гудовъ, дировъ, чудовъ, бутовъ, тулбовъ	 distance == 2
CANNOT chose from ввозити	 to 	возити, свозити, вводити	 distance == 1
CANNOT chose from измерзнути	 to 	мерзнути, обмерзнути	 distance == 2
CANNOT chose from черность	 to 	ревность, лѣность, дерзость, бѣдность	 distance == 2
CANNOT chose from посупити	 to 	посушити, посудити, поступити	 distance == 1
CANNOT chose from шибение	 to 	биение, видѣние, лишение, имѣние	 distance == 2
CANNOT chose from открывати	 to 	покрывати, скрывати, укрывати	 distance == 2
CANNOT chose from свлачати	 to 	влагати, влачити, складати, облачати, слагати, свѣчати	 distance == 2
CANNOT chose from помордати	 to 	помолчати, поторгати	 distance == 2
CANNOT chose from полнъ	 to 	полый, полный	 distance == 2
CANNOT chose from утерти	 to 	отерти, терти	 distance == 1
CANNOT chose from посягнути	 to 	посякнути, потягнути	 distance == 1
CANNOT chose from загнати	 to 	загнути, загнити	 distance == 1
CANNOT chose from всыпати	 to 	сыпати, ссыпати, осыпати, всылати	 distance == 1
CANNOT chose from утѣшникъ	 to 	отѣникъ, грѣшникъ, ученикъ	 distance == 2
CANNOT chose from пухати	 to 	пихати, пахати, пхати	 distance == 1
CANNOT chose from наважение	 to 	наведение, нападение, наслажение, нахожение	 distance == 2
CANNOT chose from полоная	 to 	погоня, полонъ, попона, полота	 distance == 2
CANNOT chose from кринъ	 to 	крикъ, критъ, каинъ	 distance == 1
CANNOT chose from восткнути	 to 	ростянути, посякнути, поткнути	 distance == 2
CANNOT chose from наѣздити	 to 	нарядити, поѣздити, ѣздити, нацидити, наводити, навадити, обездити, находити, насадити	 distance == 2
CANNOT chose from дука	 to 	рука, душа, дуга, мука, лука, дума, дска, щука	 distance == 1
CANNOT chose from виоти	 to 	вои, меоти	 distance == 2
CANNOT chose from розносити	 to 	износити, взносити	 distance == 2
CANNOT chose from бѣгание	 to 	обѣщание, обѣдание	 distance == 2
CANNOT chose from прихажати	 to 	проважати, придавати, прибѣжати, прижати, прилежати, причащати, приказати, прохлажати, приѣзжати, припадати, пригожати	 distance == 2
CANNOT chose from луковати	 to 	исковати, оковати, лиховати, сковати, куповати, ковати, уповати, лукавовати	 distance == 2
CANNOT chose from дунути	 to 	дхнути, сунути	 distance == 1
CANNOT chose from повиснути	 to 	окиснути, починути, повинити, потснути, дотиснути, прокиснути, подвигнути, погибнути, покинути	 distance == 2
CANNOT chose from втещи	 to 	врещи, тещи, втечи, вжещи	 distance == 1
CANNOT chose from предварити	 to 	подварити, приварити, переварити	 distance == 2
CANNOT chose from залозный	 to 	законный, жалобный, золотный	 distance == 2
CANNOT chose from дверца	 to 	дверь, верба, вѣра	 distance == 2
CANNOT chose from одолѣние	 to 	полѣние, одѣние	 distance == 2
CANNOT chose from потскивати	 to 	потчивати, покивати, понюкивати	 distance == 2
CANNOT chose from хоружка	 to 	дорожка, порука	 distance == 2
CANNOT chose from щирица	 to 	ирина, ширина, лисица	 distance == 2
CANNOT chose from измолвити	 to 	изволити, измочити, намолвити, молвити	 distance == 2
CANNOT chose from выправити	 to 	выпарити, направити, поправити, правити, оправити, отправити, доправити, управити, исправити	 distance == 2
CANNOT chose from пронский	 to 	понтский, плотский, полский, брянский, прокий, конский	 distance == 2
CANNOT chose from прошибати	 to 	прорицати, проливати, прочитати, пробивати, прозирати, проимати, пропивати, погибати	 distance == 2
CANNOT chose from пленение	 to 	сплетение, печение	 distance == 2
CANNOT chose from буий	 to 	буи, шуий	 distance == 1
CANNOT chose from подхути	 to 	поддати, подпити, подаяти, поѣхати, подтяти, почути, подѣяти, подрати, подити, подати, подяти	 distance == 2
CANNOT chose from порожение	 to 	положение, поможение	 distance == 1
CANNOT chose from предвести	 to 	привести, провести, перевести	 distance == 2
CANNOT chose from пошити	 to 	поити, побити, пожити, почити, подити	 distance == 1
CANNOT chose from вчинити	 to 	чинити, учинити, винити	 distance == 1
CANNOT chose from трость	 to 	ярость, рость	 distance == 1
